codigo_abonado,tipo_solicitud,canal_ingreso,servicio_afectado,falla,diagnostico,estado,fecha_ingreso,fecha_cierre,asesor_idx,tecnico_idx,escalado
TC100017,sin_internet,call_center,internet,,BLOQUEO DE MODEM,enviado_tecnico,2025-12-31 08:25:00,,10,0,
TC100005,sin_internet,whatsapp,internet,,FALLA MASIVA,solucionado,2025-12-31 09:05:00,,26,0,
TC100006,sin_internet,whatsapp,internet,,FALLA MASIVA,solucionado,2025-12-31 09:05:00,,26,0,
SR100689,soporte_remoto,call_center,tv,PROGRAMACIÓN DE TV,,solucionado,2025-12-31 09:45:00,2026-01-02 16:50:00,1,1,
DQ100018,sin_internet,whatsapp,internet,,FALLA DE FIBRA,solucionado,2025-12-31 11:25:00,,5,4,
SG100690,soporte_remoto,caja,internet,LENTITUD E INTERMITENCIA,,solucionado,2025-12-31 11:40:00,2026-01-03 09:45:00,9,1,
TC100688,soporte_remoto,call_center,internet,PROBLEMAS CON TEST DE VELOCIDAD,,cancelado,2025-12-31 12:35:00,2025-12-31 14:00:00,25,4,
VG100687,soporte_remoto,call_center,internet,PROBLEMAS CON TEST DE VELOCIDAD,,solucionado,2025-12-31 15:10:00,2026-01-02 17:25:00,19,1,
VG103941,cambio_titular,whatsapp,,,,solucionado,2025-12-31 16:10:00,2026-01-02 09:30:00,36,2,
CH100966,soporte_remoto,call_center,tv,CANALES INTERMITENTES,,solucionado,2026-01-02 09:25:00,2026-01-27 10:30:00,2,1,
TC100019,sin_internet,call_center,internet,,FALLA DE FIBRA,enviado_tecnico,2026-01-02 11:05:00,,38,0,
VG103942,cambio_titular,whatsapp,,,,solucionado,2026-01-02 11:20:00,2026-01-05 08:50:00,36,2,
DQ100020,sin_internet,call_center,internet,,,enviado_tecnico,2026-01-02 11:40:00,,,0,
DQ103943,cambio_titular,call_center,,,,solucionado,2026-01-02 13:05:00,2026-01-05 09:25:00,40,2,
DQ100031,sin_internet,whatsapp,internet,,,cancelado,2026-01-02 15:35:00,2026-01-07 09:00:00,0,0,
TC100692,soporte_remoto,call_center,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-02 17:00:00,2026-01-06 17:10:00,35,0,
CH100693,soporte_remoto,call_center,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-02 17:00:00,2026-01-03 09:45:00,2,0,
DQ100694,soporte_remoto,call_center,tv,CANALES LLUVIOSOS/PIXELADOS,,solucionado,2026-01-02 17:00:00,2026-01-02 17:00:00,5,2,
C100695,soporte_remoto,call_center,tv,CANALES LLUVIOSOS/PIXELADOS,,cancelado,2026-01-02 17:00:00,2026-01-02 17:00:00,37,0,
C100696,soporte_remoto,whatsapp,internet_tv,LENTITUD E INTERMITENCIA,,solucionado,2026-01-02 17:00:00,2026-01-02 17:00:00,22,2,
TC100697,soporte_remoto,call_center,internet,ERROR EN INGRESO A PÁGINAS,,solucionado,2026-01-02 17:00:00,2026-01-02 17:20:00,38,1,
CH100698,soporte_remoto,whatsapp,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-02 17:00:00,2026-01-02 17:10:00,2,1,
DQ100699,soporte_remoto,caja,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-02 17:00:00,2026-01-02 17:45:00,0,0,
DQ100700,soporte_remoto,whatsapp,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-02 17:00:00,2026-01-02 17:00:00,0,2,
SG100701,soporte_remoto,whatsapp,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-02 17:00:00,2026-01-03 10:25:00,3,1,
SG100433,soporte_remoto,call_center,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-02 17:00:00,2026-01-03 10:20:00,3,1,
SG100702,soporte_remoto,call_center,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-02 17:00:00,2026-01-03 10:15:00,3,1,
SG100703,soporte_remoto,whatsapp,internet,LENTITUD E INTERMITENCIA,,cancelado,2026-01-02 17:00:00,2026-01-03 15:25:00,3,2,
SG100704,soporte_remoto,call_center,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-02 17:00:00,2026-01-03 15:25:00,3,2,
SG100705,soporte_remoto,whatsapp,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-02 17:00:00,2026-01-05 15:30:00,3,1,
TC100706,soporte_remoto,call_center,tv,CANALES FALTANTES,,solucionado,2026-01-02 17:00:00,2026-01-05 08:40:00,10,0,
C103174,cambio_plan,call_center,,,,solucionado,2026-01-02 17:30:00,2026-01-06 12:30:00,22,3,
TC103175,cambio_plan,call_center,,,,solucionado,2026-01-03 15:05:00,2026-01-05 11:50:00,27,15,
SG100711,cambio_plan,call_center,,,,solucionado,2026-01-04 08:35:00,2026-01-05 17:05:00,3,3,
SG103176,cambio_plan,whatsapp,,,,solucionado,2026-01-04 10:35:00,2026-01-05 17:10:00,3,3,
DQ100707,soporte_remoto,whatsapp,internet,STREAMING CON FALLAS,,solucionado,2026-01-04 11:00:00,2026-01-05 10:25:00,19,2,
SG100708,soporte_remoto,call_center,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 08:20:00,2026-01-05 15:35:00,3,1,
SG100709,soporte_remoto,caja,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 08:20:00,2026-01-05 17:15:00,3,0,
VG100710,soporte_remoto,call_center,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 08:20:00,2026-01-05 11:25:00,6,2,
SG100711,soporte_remoto,call_center,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 08:20:00,2026-01-05 09:00:00,3,2,
SR100011,sin_internet,call_center,internet,,,solucionado,2026-01-05 08:35:00,2026-01-06 09:00:00,1,0,
DQ100044,soporte_remoto,call_center,tv,SIN SEÑAL DE TV,,solucionado,2026-01-05 08:50:00,2026-01-05 11:45:00,0,2,
DQ100712,soporte_remoto,whatsapp,tv,CANALES LLUVIOSOS/PIXELADOS,,solucionado,2026-01-05 09:00:00,2026-01-05 13:30:00,0,1,
TC100749,soporte_remoto,whatsapp,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 09:00:00,2026-01-05 16:15:00,26,2,
C100766,soporte_remoto,caja,internet,ERROR EN INGRESO A PÁGINAS,,solucionado,2026-01-05 09:00:00,2026-01-06 08:30:00,,4,
SG103187,cambio_plan,whatsapp,,,,solucionado,2026-01-05 09:00:00,2026-01-06 12:05:00,3,3,
SG100713,soporte_remoto,call_center,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 09:10:00,2026-01-05 17:20:00,3,0,
SR100714,soporte_remoto,whatsapp,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 09:10:00,2026-01-05 11:50:00,1,2,
SR100715,soporte_remoto,call_center,internet_tv,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 09:15:00,2026-01-05 10:10:00,1,1,
SG100716,soporte_remoto,whatsapp,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 09:20:00,2026-01-05 09:20:00,3,2,
SR100717,soporte_remoto,call_center,internet,HABILITACIÓN DE PUERTOS,,solucionado,2026-01-05 09:25:00,2026-01-05 10:45:00,1,2,
DQ100007,sin_internet,call_center,internet,,WIFI DESACTIVADO,solucionado,2026-01-05 09:35:00,2026-01-05 15:10:00,5,0,
SR100718,soporte_remoto,whatsapp,internet_tv,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 09:45:00,2026-01-05 09:55:00,1,0,
TCF100719,soporte_remoto,whatsapp,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 09:55:00,2026-01-05 14:00:00,4,1,
SR100720,soporte_remoto,whatsapp,internet,HABILITACIÓN DE PUERTOS,,solucionado,2026-01-05 09:55:00,2026-01-05 11:40:00,1,0,
CH100721,soporte_remoto,caja,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 10:00:00,2026-01-05 11:05:00,2,2,
C100722,soporte_remoto,call_center,internet,HABILITACIÓN DE PUERTOS,,cancelado,2026-01-05 10:10:00,2026-01-05 13:00:00,8,1,
DQ100021,sin_internet,caja,internet,,FALLA DE FIBRA,solucionado,2026-01-05 10:20:00,2026-01-05 10:50:00,0,0,
SR100723,soporte_remoto,call_center,tv,PROGRAMACIÓN DE TV,,solucionado,2026-01-05 10:45:00,2026-01-05 11:50:00,14,2,
DQ100724,soporte_remoto,whatsapp,internet_tv,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 10:45:00,2026-01-06 08:45:00,0,0,
SG100725,soporte_remoto,call_center,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 10:50:00,2026-01-05 10:50:00,3,2,
SR100726,soporte_remoto,call_center,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 10:50:00,2026-01-05 11:00:00,5,1,
TC100727,soporte_remoto,whatsapp,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 10:55:00,2026-01-05 13:15:00,0,1,
DQ100728,soporte_remoto,call_center,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 10:55:00,2026-01-06 08:55:00,0,0,
VG100729,soporte_remoto,call_center,internet,PROBLEMAS CON TEST DE VELOCIDAD,,solucionado,2026-01-05 10:55:00,2026-01-05 12:10:00,6,0,
DQ100730,soporte_remoto,call_center,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 11:00:00,2026-01-05 11:55:00,5,2,
DQ100731,soporte_remoto,call_center,tv,CANALES LLUVIOSOS/PIXELADOS,,solucionado,2026-01-05 11:00:00,2026-01-05 12:45:00,11,2,
SG103177,cambio_plan,whatsapp,,,,solucionado,2026-01-05 11:00:00,2026-01-27 10:30:00,9,3,
DQ100022,sin_internet,call_center,internet,,FALLA DE FIBRA,solucionado,2026-01-05 11:20:00,2026-01-05 12:35:00,4,0,
SG103944,cambio_titular,caja,,,,solucionado,2026-01-05 11:25:00,2026-01-06 13:30:00,3,2,
TCF100732,soporte_remoto,whatsapp,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 11:30:00,2026-01-05 13:05:00,4,1,
TC100023,sin_internet,whatsapp,internet,,FALLA DE FIBRA,solucionado,2026-01-05 11:35:00,2026-01-06 09:10:00,10,0,
SG100733,soporte_remoto,call_center,internet_tv,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 11:40:00,2026-01-06 08:30:00,3,1,
DQ100008,sin_internet,call_center,internet,,VLAN DUPLICADA,solucionado,2026-01-05 11:45:00,2026-01-05 12:30:00,0,0,
SR100734,soporte_remoto,whatsapp,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 11:50:00,2026-01-05 11:50:00,14,1,
CH100735,soporte_remoto,whatsapp,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 11:50:00,2026-01-06 10:35:00,2,0,
CH100736,soporte_remoto,whatsapp,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 11:55:00,2026-01-05 13:10:00,2,2,
DQ100737,soporte_remoto,caja,tv,CANALES FALTANTES,,solucionado,2026-01-05 11:55:00,2026-01-05 12:50:00,0,1,
SG100738,soporte_remoto,call_center,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 11:55:00,2026-01-05 17:30:00,3,0,
SG103178,cambio_plan,whatsapp,,,,solucionado,2026-01-05 12:00:00,2026-01-05 17:40:00,9,3,
C103179,cambio_plan,call_center,,,,solucionado,2026-01-05 12:00:00,2026-01-05 17:25:00,13,3,
TC100199,soporte_remoto,call_center,internet_tv,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 12:15:00,2026-01-09 12:15:00,7,1,
SG100739,soporte_remoto,call_center,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 12:25:00,2026-01-05 12:25:00,3,2,
TCF100740,soporte_remoto,call_center,tv,SIN SEÑAL DE TV,,solucionado,2026-01-05 12:25:00,2026-01-05 15:25:00,22,2,
TCF100741,soporte_remoto,whatsapp,internet,HABILITACIÓN DE PUERTOS,,cancelado,2026-01-05 12:25:00,2026-01-09 08:15:00,22,0,
DQ100742,soporte_remoto,whatsapp,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 12:55:00,2026-01-05 16:00:00,0,1,
TC100743,soporte_remoto,call_center,internet_tv,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 13:35:00,2026-01-05 17:30:00,7,1,
TC100759,soporte_remoto,call_center,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 14:00:00,2026-01-06 09:10:00,7,1,
TC100747,soporte_remoto,whatsapp,internet_tv,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 14:05:00,2026-01-05 14:05:00,26,2,
SG103184,cambio_plan,whatsapp,,,,cancelado,2026-01-05 14:06:00,2026-01-15 14:25:00,3,3,
TC103180,cambio_plan,whatsapp,,,,solucionado,2026-01-05 14:10:00,2026-01-05 17:35:00,26,3,
TC100745,soporte_remoto,call_center,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 14:20:00,2026-01-06 11:05:00,26,0,
SG100746,soporte_remoto,call_center,internet,LENTITUD E INTERMITENCIA,,cancelado,2026-01-05 14:20:00,2026-01-09 08:35:00,3,0,
TC100024,sin_internet,caja,internet,,EQUIPO NO ENGANCHA,solucionado,2026-01-05 14:25:00,2026-01-05 16:10:00,26,0,
SG103186,cambio_titular,call_center,,,,solucionado,2026-01-05 14:25:00,2026-01-07 13:00:00,3,2,
SG100744,soporte_remoto,call_center,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 14:40:00,2026-01-07 10:50:00,3,0,
SG103181,cambio_plan,whatsapp,,,,solucionado,2026-01-05 14:40:00,2026-01-05 17:45:00,9,3,
SR100748,soporte_remoto,whatsapp,internet,ERROR EN INGRESO A PÁGINAS,,solucionado,2026-01-05 14:45:00,2026-01-05 17:30:00,1,2,
C103182,cambio_plan,whatsapp,,,,solucionado,2026-01-05 14:45:00,2026-01-05 18:05:00,13,3,
SG101606,cambio_plan,call_center,,,,solucionado,2026-01-05 14:50:00,2026-01-06 09:15:00,9,3,
SG100750,soporte_remoto,whatsapp,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 15:00:00,2026-01-05 16:55:00,9,1,
SG100751,soporte_remoto,whatsapp,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 15:00:00,2026-01-05 17:00:00,9,1,
SG100752,soporte_remoto,whatsapp,tv,SIN SEÑAL DE TV,,solucionado,2026-01-05 15:00:00,2026-01-05 17:15:00,9,1,
SG100753,soporte_remoto,whatsapp,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 15:05:00,2026-01-06 09:00:00,9,0,
C103945,cambio_titular,call_center,,,,solucionado,2026-01-05 15:05:00,2026-01-06 17:00:00,15,2,
SG100754,soporte_remoto,whatsapp,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 15:10:00,2026-01-07 11:10:00,9,0,
SG100755,soporte_remoto,call_center,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 15:10:00,2026-01-06 10:00:00,9,4,
SG100756,soporte_remoto,whatsapp,internet,ERROR EN INGRESO A PÁGINAS,,solucionado,2026-01-05 15:15:00,2026-01-05 17:20:00,9,2,
TC103183,cambio_plan,caja,,,,solucionado,2026-01-05 15:15:00,2026-01-06 10:25:00,10,3,
TC100025,sin_internet,whatsapp,internet,,FALLA DE FIBRA,solucionado,2026-01-05 15:25:00,2026-01-05 16:15:00,26,0,
SG100757,soporte_remoto,call_center,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 15:25:00,2026-01-05 17:50:00,9,1,
SG100009,sin_internet,call_center,internet,,BLOQUEO DE EQUIPO,solucionado,2026-01-05 15:40:00,2026-01-06 09:15:00,3,0,
SG100010,sin_internet,whatsapp,internet,,WIFI RESETEADO,solucionado,2026-01-05 15:40:00,2026-01-05 16:55:00,3,0,
DQ100758,soporte_remoto,call_center,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 16:00:00,2026-01-06 09:00:00,4,1,
SG100760,soporte_remoto,whatsapp,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 16:00:00,2026-01-05 17:30:00,9,2,
TC100762,soporte_remoto,caja,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 16:15:00,2026-01-05 18:00:00,26,2,
DQ100761,soporte_remoto,call_center,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 16:25:00,2026-01-05 17:55:00,5,2,
SR103185,cambio_plan,whatsapp,,,,solucionado,2026-01-05 16:29:00,2026-01-06 10:30:00,45,3,
DQ100763,soporte_remoto,call_center,tv,SIN SEÑAL DE TV,,solucionado,2026-01-05 16:30:00,2026-01-06 12:20:00,5,2,
TC100764,soporte_remoto,whatsapp,tv,CANALES LLUVIOSOS/PIXELADOS,,solucionado,2026-01-05 16:30:00,2026-01-06 09:15:00,11,4,
SG103186,cambio_plan,call_center,,,,solucionado,2026-01-05 16:35:00,2026-01-06 10:40:00,3,3,
SR100765,soporte_remoto,call_center,internet,HABILITACIÓN DE PUERTOS,,solucionado,2026-01-05 16:45:00,2026-01-06 10:20:00,1,4,
DQ100026,sin_internet,call_center,internet,,FALLA DE FIBRA,solucionado,2026-01-05 17:15:00,2026-01-06 09:30:00,5,0,
VG103188,cambio_plan,call_center,,,,solucionado,2026-01-05 17:15:00,2026-01-06 11:30:00,6,3,
DQ103189,cambio_plan,call_center,,,,solucionado,2026-01-05 17:15:00,2026-01-06 11:50:00,0,3,
SG100767,soporte_remoto,whatsapp,internet_tv,LENTITUD E INTERMITENCIA,,solucionado,2026-01-05 17:25:00,2026-01-06 09:30:00,3,1,
SG100768,soporte_remoto,call_center,tv,SIN SEÑAL DE TV,,solucionado,2026-01-05 17:30:00,2026-01-06 09:30:00,3,1,
TC100027,sin_internet,call_center,internet,,FALLA DE FIBRA,solucionado,2026-01-05 17:45:00,2026-01-06 10:05:00,35,0,
VG103190,cambio_plan,whatsapp,,,,solucionado,2026-01-05 17:45:00,2026-01-13 10:50:00,6,3,
AL103947,cambio_titular,whatsapp,,,,solucionado,2026-01-05 17:45:00,2026-01-09 17:20:00,26,2,
DQ103946,cambio_titular,whatsapp,,,,solucionado,2026-01-05 17:50:00,2026-01-07 19:20:00,0,2,
DQ100028,sin_internet,call_center,internet,,FALLA DE FIBRA,solucionado,2026-01-05 18:25:00,2026-01-06 10:10:00,5,0,
DQ100769,soporte_remoto,call_center,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-06 08:50:00,2026-01-06 12:25:00,0,2,
C103191,cambio_plan,whatsapp,,,,solucionado,2026-01-06 08:50:00,2026-01-19 17:25:00,8,3,
DQ100029,sin_internet,call_center,internet,,FALLA DE FIBRA,solucionado,2026-01-06 09:20:00,2026-01-06 09:20:00,5,0,
C100770,soporte_remoto,call_center,tv,CANALES FALTANTES,,solucionado,2026-01-06 09:20:00,2026-01-06 12:45:00,8,2,
DQ100773,soporte_remoto,call_center,tv,CANALES LLUVIOSOS/PIXELADOS,,solucionado,2026-01-06 09:20:00,2026-01-06 11:30:00,5,1,
TC100032,sin_internet,call_center,internet,,,solucionado,2026-01-06 09:30:00,2026-01-06 10:45:00,26,0,
SR100771,soporte_remoto,call_center,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-06 09:35:00,2026-01-06 13:05:00,14,2,
C100772,soporte_remoto,call_center,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-06 09:40:00,2026-01-06 09:40:00,8,2,
DQ100610,soporte_remoto,whatsapp,tv,CANALES FALTANTES,,solucionado,2026-01-06 09:40:00,2026-01-06 15:45:00,0,2,
SR103192,cambio_plan,call_center,,,,solucionado,2026-01-06 09:45:00,2026-01-06 16:45:00,1,3,
CT100774,soporte_remoto,call_center,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-06 10:15:00,2026-01-06 11:20:00,7,1,
TC100775,soporte_remoto,call_center,tv,PROGRAMACIÓN DE TV,,solucionado,2026-01-06 10:40:00,2026-01-06 10:40:00,7,1,
TC100776,soporte_remoto,whatsapp,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-06 11:10:00,2026-01-06 12:25:00,26,0,
CH100777,soporte_remoto,call_center,tv,PROGRAMACIÓN DE TV,,solucionado,2026-01-06 11:25:00,2026-01-08 09:30:00,2,0,
DQ100778,soporte_remoto,whatsapp,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-06 11:35:00,2026-01-07 10:25:00,0,1,
DQ100779,cambio_plan,call_center,,,,solucionado,2026-01-06 12:05:00,2026-01-06 16:50:00,0,3,
DQ100779,soporte_remoto,caja,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-06 12:10:00,2026-01-06 15:00:00,0,0,
TC102298,cambio_plan,whatsapp,,,,solucionado,2026-01-06 12:10:00,2026-01-30 10:40:00,35,3,
VG100621,soporte_remoto,call_center,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-06 13:10:00,2026-01-06 13:10:00,6,2,
DQ100780,soporte_remoto,call_center,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-06 13:45:00,2026-01-07 12:00:00,23,0,
TC100033,sin_internet,whatsapp,internet,,,solucionado,2026-01-06 14:45:00,2026-01-07 08:20:00,26,0,
TCF100000,soporte_remoto,whatsapp,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-06 15:20:00,2026-01-06 16:00:00,4,2,
C103193,cambio_plan,call_center,,,,solucionado,2026-01-06 15:20:00,2026-01-06 17:05:00,16,3,
C100781,soporte_remoto,call_center,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-06 15:45:00,2026-01-06 16:15:00,8,1,
TCF100783,soporte_remoto,whatsapp,internet,LENTITUD E INTERMITENCIA,,cancelado,2026-01-06 15:45:00,2026-01-09 10:50:00,4,0,
DQ100021,sin_internet,whatsapp,internet,,BLOQUEO DE EQUIPO,solucionado,2026-01-06 15:55:00,2026-01-06 16:55:00,0,2,
SR100034,sin_internet,call_center,internet,,,solucionado,2026-01-06 16:20:00,2026-01-07 10:25:00,1,0,
SR100034,cambio_plan,call_center,,,,solucionado,2026-01-06 16:25:00,2026-01-06 17:20:00,1,3,
SR100782,soporte_remoto,whatsapp,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-06 16:35:00,2026-01-06 16:35:00,1,2,
SR100784,soporte_remoto,call_center,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-06 16:35:00,2026-01-06 17:15:00,1,1,
DQ100035,sin_internet,call_center,internet,,FALLA DE FIBRA,solucionado,2026-01-06 17:05:00,2026-01-06 17:05:00,5,0,
DQ100785,soporte_remoto,call_center,tv,SIN SEÑAL DE TV,,solucionado,2026-01-06 17:25:00,2026-01-07 11:30:00,4,4,
SG101685,cambio_plan,whatsapp,,,,solucionado,2026-01-06 17:45:00,2026-01-07 12:35:00,9,3,
SG101685,cambio_titular,call_center,,,,solucionado,2026-01-06 17:45:00,2026-01-09 17:30:00,9,2,
SG103194,cambio_plan,call_center,,,,solucionado,2026-01-06 18:00:00,2026-01-07 13:10:00,9,3,
SG103195,cambio_plan,whatsapp,,,,solucionado,2026-01-06 18:00:00,2026-01-19 17:30:00,9,3,
SG103196,cambio_plan,call_center,,,,solucionado,2026-01-06 18:00:00,2026-01-07 17:45:00,9,3,
SR100786,soporte_remoto,whatsapp,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-06 18:50:00,2026-01-06 18:50:00,23,2,
VG100787,soporte_remoto,whatsapp,internet,LENTITUD E INTERMITENCIA,,solucionado,2026-01-07 09:15:00,2026-01-07 09:50:00,6,1,
DQ103948,cambio_titular,whatsapp,,,,solucionado,2026-01-07 09:40:00,2026-01-09 17:35:00,5,2,
